"","PapersCapita","GBIF_Total","CountHerbaria","CountGEFGrants","InternetPenetration","CountEcoregions","DensAmphRich","DensRept_rich","DensBirdRich","DensMamsRich","VA_Mean","PS_Mean","GE_Mean","RL_Mean","CC_Mean","logGDP2010","logGDP2011"
"1",-0.402151259431984,-0.150765148918234,0.0491895122664403,-1.26967933947627,-0.292553948283578,1.68049557952187,0.669295806322674,0.104246663575797,-0.026169199541952,0.543484228452864,-1.03013207553038,-0.519912814817055,-0.951282304279504,-1.23947801974086,-1.44039552041343,0.808276406382187,0.801899622906013
"2",-0.213958926059003,-0.177965164481727,-0.315391578649529,0.276017247712234,-0.592806684679881,-0.637252146363032,-0.454544127740073,-0.116099247862179,-0.899026690973347,0.443913423987848,1.15319625757109,1.13230024096521,0.418462563057947,0.180732919153183,-0.163471011952702,-0.137066951584556,-0.147471005836475
"3",0.567727215828947,-0.122395327132195,0.170716542571763,0.662441394509361,-0.00384939405636292,-0.0051391302126051,-0.561913150244622,-0.153787293132206,-0.742338211755732,-0.168921264116494,1.61362604210269,1.69947785712927,2.21514089553954,2.05802324067979,2.72348874630634,0.550400834181557,0.557305447832247
"4",-0.278769869473909,-0.187556305233302,-0.0723375180388828,-0.110406899084893,-0.777577599385298,-1.05866082379665,-0.851346692573958,-0.0860216667472753,-1.01787766235894,-0.0468982488293953,0.291746983286154,0.577452572978626,0.0982624641998418,0.360299819473119,0.595281232205122,0.110680482820513,0.107407075569787
"5",-0.398767857513572,-0.194721801394102,-0.315391578649529,-0.49683104588202,-0.742933052878032,-0.637252146363032,-0.0104638530424228,-0.327856403041704,2.13454896895907,1.62236240610996,-0.718228027944459,-1.66659799532265,-1.00464898742252,-0.961965537428231,-0.885210951517462,-0.923688953569959,-0.924739860740606
"6",-0.126743847007468,-0.0639812324024784,0.170716542571763,1.43528968810362,-0.477324862988995,1.46979124080506,2.65324277109319,0.148132424437891,0.561861859572822,1.48215495996691,-0.762785749028162,-0.0267148877178724,-0.221937634658264,-0.83137142810464,-0.848198646924397,0.862883097531207,0.858407672146359
"7",-0.294107958170708,-0.184385818575852,-0.436918608954852,-0.49683104588202,2.38662431494497,-1.26936516251346,-1.53733999783248,-1.60985883439893,-1.53089723797089,-1.67755389981446,1.85126722121578,1.67481796077431,1.41464064839428,1.82948354936351,1.96473650214851,-1.05481698132538,-1.04955031835619
"8",-0.41530893355914,-0.194763373974567,-0.193864548344206,-0.49683104588202,-0.650547595525323,-0.215843468929414,0.0329122421506125,-0.81263099048941,-1.12859632110897,0.617388501739043,-0.718228027944459,-1.54329851354786,-1.41379355818566,-1.3210993380681,-0.959235560703591,-1.02569610170178,-1.03292836321125
"9",-0.396061135978843,-0.207811390271244,-0.436918608954852,-0.49683104588202,-0.731384870708944,0.205565208504204,-1.02888737017984,-0.871917320927871,-1.21360579922093,-0.639838383955782,-1.08954237030865,-1.41999903177306,-1.04022677618453,-1.09255964675182,-1.29234630204117,-0.129845525485675,-0.140263594530837
"10",-0.360121888934382,-0.194683693195342,-0.436918608954852,-0.883255192679148,-0.396487587805375,-1.26936516251346,-1.00660048979204,-0.420115634273903,-0.247895832433325,-1.46480758665275,0.0838109515622043,0.0595947495244846,-1.52052692447169,-0.619156000453807,-0.496581753290284,-2.07284695463351,-2.08578719682337
"11",-0.192885595176949,-0.199089231930789,-0.193864548344206,-0.49683104588202,-0.130879397916337,-0.637252146363032,0.421907550280269,0.172127265957588,-1.49386285380034,0.652356828562815,-0.822196043806433,-0.556902659349494,-1.04022677618453,-0.994614064759128,-0.903717103813994,0.173951885052718,0.165246450443423
"12",-0.41530893355914,-0.150660062673168,-0.193864548344206,-0.110406899084893,-0.419583952143552,-0.215843468929414,0.658239959803486,-0.10304043516276,0.0731625937254494,0.692205439590923,-1.05983722291952,-1.69125789167761,-0.844548937993469,-1.20682949240996,-0.940729408407059,0.789536720704084,0.718699078475546
"13",-0.353806205353347,-0.208585102185464,-0.436918608954852,-0.883255192679148,-0.384939405636286,-0.0051391302126051,-1.05855061169769,-0.534496284271679,0.0704549317660261,-1.53152687091087,-2.11436995523383,-0.408943281219739,-0.826760043612463,-0.390616309137524,0.687811993687784,-1.22672440390541,-1.1956187726791
"14",-0.347340148353716,-0.113745343410605,-0.0723375180388828,0.276017247712234,-0.858414874568918,1.04838256337144,-0.438709117685444,-0.547602551783664,0.156682011328092,0.400751242197904,-0.955869207057544,-1.33368939453071,0.0626846754378301,-0.145752354155793,-0.237495621138831,1.1222196643648,1.13899596382574
"15",0.323841079410539,-0.117584455737209,-0.315391578649529,-0.110406899084893,-0.142427580085426,-0.84795648507984,0.55168859453082,-0.625154796179252,-1.73033385259089,0.149112731299119,-0.391471406663966,0.873371329238136,-0.0796264796102168,0.295002764811324,-0.367038687214557,0.340823053502308,0.341723651966883
